start_date,end_date,pollster,sample_size,dem,rep,methodology,pollster_rating_id,numeric_grade,margin,dem_roll7,rep_roll7,margin_roll7
2022-11-09,2022-11-11,Morning Consult,7439.0,47.0,44.0,Online Panel,218,1.8,3.0,47.0,44.0,3.0
2022-11-10,2022-11-12,Morning Consult,7439.0,48.0,44.0,Online Panel,218,1.8,4.0,47.5,44.0,3.5
2022-11-11,2022-11-13,Morning Consult,7439.0,48.0,44.0,Online Panel,218,1.8,4.0,47.666666666666664,44.0,3.6666666666666665
2022-11-12,2022-11-14,Morning Consult,7439.0,48.0,44.0,Online Panel,218,1.8,4.0,47.75,44.0,3.75
2022-11-13,2022-11-15,Morning Consult,7439.0,47.0,44.0,Online Panel,218,1.8,3.0,47.6,44.0,3.6
2022-11-14,2022-11-16,Morning Consult,7439.0,47.0,43.0,Online Panel,218,1.8,4.0,47.5,43.833333333333336,3.6666666666666665
2022-11-15,2022-11-17,Morning Consult,7439.0,47.0,43.0,Online Panel,218,1.8,4.0,47.42857142857143,43.714285714285715,3.7142857142857144
2022-11-16,2022-11-18,Morning Consult,7439.0,47.0,43.0,Online Panel,218,1.8,4.0,47.42857142857143,43.57142857142857,3.857142857142857
2022-11-17,2022-11-19,Morning Consult,7439.0,47.0,43.0,Online Panel,218,1.8,4.0,47.285714285714285,43.42857142857143,3.857142857142857
2022-11-18,2022-11-19,Emerson,1380.0,45.1,42.9,IVR/Online Panel,88,2.9,2.200000000000003,46.871428571428574,43.271428571428565,3.6000000000000005
2022-11-18,2022-11-20,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.58571428571429,43.271428571428565,3.3142857142857145
2022-11-19,2022-11-21,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.44285714285714,43.271428571428565,3.1714285714285717
2022-11-20,2022-11-22,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.300000000000004,43.41428571428571,2.885714285714286
2022-11-21,2022-11-23,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.15714285714286,43.55714285714286,2.6000000000000005
2022-11-22,2022-11-24,Morning Consult,7439.0,47.0,44.0,Online Panel,218,1.8,3.0,46.15714285714286,43.699999999999996,2.4571428571428577
2022-11-23,2022-11-25,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.01428571428572,43.84285714285714,2.1714285714285717
2022-11-24,2022-11-26,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.142857142857146,44.0,2.142857142857143
2022-11-25,2022-11-27,Morning Consult,7439.0,46.0,43.0,Online Panel,218,1.8,3.0,46.142857142857146,43.857142857142854,2.2857142857142856
2022-11-26,2022-11-28,Morning Consult,7439.0,47.0,43.0,Online Panel,218,1.8,4.0,46.285714285714285,43.714285714285715,2.5714285714285716
2022-11-27,2022-11-29,Morning Consult,7439.0,47.0,43.0,Online Panel,218,1.8,4.0,46.42857142857143,43.57142857142857,2.857142857142857
2022-11-28,2022-11-30,Morning Consult,7439.0,47.0,43.0,Online Panel,218,1.8,4.0,46.57142857142857,43.42857142857143,3.142857142857143
2022-11-29,2022-12-01,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.42857142857143,43.42857142857143,3.0
2022-11-30,2022-12-02,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.42857142857143,43.42857142857143,3.0
2022-12-01,2022-12-03,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.42857142857143,43.42857142857143,3.0
2022-12-02,2022-12-04,Morning Consult,7439.0,46.0,44.0,Online Panel,218,1.8,2.0,46.42857142857143,43.57142857142857,2.857142857142857
2022-12-03,2022-12-05,Morning Consult,7439.0,46.0,43.0,Online Panel,218,1.8,3.0,46.285714285714285,43.57142857142857,2.7142857142857144
2022-12-04,2022-12-06,Morning Consult,7439.0,46.0,43.0,Online Panel,218,1.8,3.0,46.142857142857146,43.57142857142857,2.5714285714285716
2022-12-05,2022-12-07,Morning Consult,7439.0,46.0,43.0,Online Panel,218,1.8,3.0,46.0,43.57142857142857,2.4285714285714284
